,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06920609965814971,0.258182210775724,0.4175767465716634,0.3484416294375541,0.1776666998484854,0.09204170336953682,0.07806136722849243,0.036499974955046595,0.005879495091643821,0.00030349648264186034,0.07195128581770907,0.3055649205442894,0.5300581172547608,0.39013986455559757,0.1489192674737936,0.07425478752145517,0.03303414209416319,0.00551511645897977,0.00029683525648500003,4.988496459651008e-06,0.0012351119638666815,0.013190834525215838,0.045598666623571066,0.051810751535061754,0.019384095749605434,0.0023575928546564723,9.128411319023402e-05,1.1014851834546592e-06,4.070698871308853e-09,4.5491386920253005e-12,0.00021310592565575585,0.003647502224317987,0.0199420818726163,0.03550015607147204,0.020741478782220515,0.0039478284711252105,0.00024020726176086346,4.570383778975871e-06,2.6676087266195064e-08,4.707933645018863e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.392698157757202e-05,0.0007196646064036726,0.011636259536486808,0.060182850753960945,0.10145104952621382,0.056145541110839234,0.010118182231947836,0.0005824723433420109,1.0478170720539695e-05,5.779573117472704e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06719835172324487,0.25476821626141416,0.4063288551669765,0.3184117138687914,0.13623254752495284,0.06719306318158494,0.06824642108266879,0.03274401790047013,0.005213505587741493,0.00026472510521065003,0.06253661994776949,0.29043669860333743,0.5464564938930656,0.43578400331414163,0.17610129375960248,0.07595896043308234,0.030565731126100823,0.004968445878760864,0.00026384476956248254,4.382552559383297e-06,0.0012665857457994994,0.01283898141766839,0.042035902893119245,0.04512326169678922,0.015896655153842698,0.001813299223698149,6.556510330526578e-05,7.357362000238834e-07,2.5189074543448224e-09,2.5988272710494466e-12,0.0001927139220878084,0.0033221330730178284,0.01829097437385814,0.032786977039664954,0.019289221100137262,0.0036972254026071396,0.000226571440851772,4.3424051100618624e-06,2.553311910969312e-08,4.539925932132771e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2669188011445561e-05,0.000657137960137015,0.01066180259108012,0.0553149872647706,0.09350953211774754,0.051884638877408185,0.009372541238453337,0.0005407161939496625,9.745846541257287e-06,5.3847079438991456e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07051529511910724,0.2635187129422128,0.4132407989219359,0.3191073659357031,0.13460605721251065,0.06483694339659024,0.06539703252126737,0.031018679751753153,0.00487275819456409,0.0002440005567665691,0.06380256831761676,0.29294683110726544,0.5432523516623,0.42872426955288806,0.17265480347519038,0.07426762357439536,0.030163070923879747,0.004982835676303605,0.0002693444552611168,4.556367049215939e-06,0.0012074548564440287,0.0123171905069557,0.04054555349766263,0.04372189218442266,0.015461210711085575,0.0017689549843591553,6.410430986785255e-05,7.203516625553464e-07,2.4675875879164594e-09,2.545101034184588e-12,0.0031685117108152918,0.013634701197012974,0.03105554316707253,0.037533193419099026,0.019326138810210967,0.003550158152362693,0.00021401925420960467,4.063070454057954e-06,2.3705444114050285e-08,4.18387986765902e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.385649374999558e-05,0.0006939955288930445,0.010879173154953566,0.05456929254322648,0.0892233709218067,0.047880983151474675,0.008361411048137323,0.00046601201831120376,8.109087721091255e-06,4.323311352595674e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049079108456546,0.26042076541064274,0.4119262727094606,0.321824739815533,0.1323747351485049,0.06291286739775896,0.06503354348501741,0.031115240642395778,0.00491987412202073,0.0002479648919295251,0.06386228295866106,0.2919088221607182,0.5433781920838183,0.4324312161089555,0.1741081567693546,0.07376778667176304,0.02958908893897097,0.004833611066405374,0.00025826752981174744,4.317407635814766e-06,0.001153392203796579,0.01197700536950914,0.04028130408915622,0.044545334729895164,0.01621990238473634,0.0019193473376173716,7.227437287421377e-05,8.478523810616907e-07,3.0454928236569615e-09,3.307511753033622e-12,0.00018930789202032297,0.0032330976190690463,0.017638508475568117,0.031332999903857205,0.018268042227275485,0.0034695984857542996,0.0002106482013933375,3.999055740804953e-06,2.3288750650950244e-08,4.100753340862421e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3142078010080484e-05,0.0006664531968912852,0.010582765761357756,0.05379137080645816,0.08916617548956446,0.04854140369743203,0.008606241494580108,0.0004874450973677241,8.62809019487821e-06,4.683568583415169e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06748907624181821,0.24763891547500483,0.39089342937906135,0.3127884217057591,0.13543241905854358,0.0634994012985417,0.06297987147641049,0.029758775751761057,0.004658829258622531,0.00023247144208873684,0.0722010508916091,0.31529476760249897,0.5596035294735033,0.43044186351987707,0.1717094019326588,0.07230636030739743,0.028952145540557504,0.004756942719463369,0.0002560394861666955,4.312783165128598e-06,0.001200072853529219,0.01203880725068948,0.03901386413731634,0.04145410206150627,0.014454440721075424,0.0016315703034743693,5.836440176239224e-05,6.478068370674246e-07,2.193370992666586e-09,2.237680830712921e-12,0.00018143431798829825,0.003110868221589849,0.017037434406592594,0.03038098032497458,0.01778070019017032,0.0033901162375254185,0.0002066350728450276,3.938639383760232e-06,2.3030452661968716e-08,4.071977718518241e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3383326280866692e-05,0.0006697939964099858,0.01049264412937113,0.052598230154390684,0.0859530816941199,0.04610292880027916,0.008047259864446921,0.0004483209243738417,7.798468725076955e-06,4.1564551000597146e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0886584346978882,0.30206005625373267,0.4397306485120629,0.3506071356090381,0.17647597423398506,0.08438581181932918,0.07331175227571077,0.03391042935740863,0.005286500720356649,0.000263017640252923,0.06853295450902257,0.2900873507736005,0.5079339633548362,0.3772783586210102,0.14425517853844144,0.07226658395178355,0.032277831073099575,0.005397110549411761,0.000290806586809255,4.892440306741e-06,0.0012764521849629046,0.013294954862747054,0.04464764151657409,0.04908684427736452,0.017691778560400055,0.0020627158051867017,7.616432146120458e-05,8.7190204241729e-07,3.0418011928076864e-09,3.1940329739371864e-12,0.00020731808326688797,0.003553569325720832,0.019456080840801537,0.03468348055070577,0.020292684794683855,0.003867882877006911,0.00023568301904436885,4.4909014222250684e-06,2.625130244514505e-08,4.639952222521035e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.305379969093566e-05,0.0006824299902007152,0.011158185620728091,0.0583328390936563,0.09935751901828624,0.055548020077914685,0.010111729718245073,0.0005879633171930469,1.0682817171425976e-05,5.9507759530107753e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07163103662971049,0.25908112353109947,0.39855384848222314,0.3118590591970152,0.14228590542466116,0.07154195967766518,0.0679856286168756,0.03202136849457248,0.005050061637925987,0.00025416758104347914,0.06924788056106644,0.3058256208732627,0.5519964250254612,0.4269648470442408,0.1691519479349751,0.07394959214465244,0.030354382602157875,0.0049855523089750225,0.00026690500389398453,4.468120957636234e-06,0.001257968579435425,0.012722291317935968,0.041523220825571555,0.044396127357044346,0.015564665764951188,0.0017651199846774699,6.338755386497e-05,7.057115031114445e-07,2.394657103956382e-09,2.4462376029993037e-12,0.00018990833904929835,0.0032763604063019273,0.018052969491820323,0.032385148459790555,0.01906741409897115,0.0036575469803994546,0.00022431717439361405,4.302663804586828e-06,2.5320116565195143e-08,4.50577025252377e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2123888872722794e-05,0.0006343453367605675,0.010379826921639856,0.054300793205916464,0.0925467660335766,0.05176920839615061,0.009428625849564297,0.000548492606095435,9.969648211438109e-06,5.555396031955437e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06920609965814971,0.258182210775724,0.4175767465716634,0.3484416294375541,0.1776666998484854,0.09204170336953682,0.07806136722849243,0.036499974955046595,0.005879495091643821,0.00030349648264186034,0.07195128581770907,0.3055649205442894,0.5300581172547608,0.39013986455559757,0.1489192674737936,0.07425478752145517,0.03303414209416319,0.00551511645897977,0.00029683525648500003,4.988496459651008e-06,0.0012351119638666815,0.013190834525215838,0.045598666623571066,0.051810751535061754,0.019384095749605434,0.0023575928546564723,9.128411319023402e-05,1.1014851834546592e-06,4.070698871308853e-09,4.5491386920253005e-12,0.00021310592565575585,0.003647502224317987,0.0199420818726163,0.03550015607147204,0.020741478782220515,0.0039478284711252105,0.00024020726176086346,4.570383778975871e-06,2.6676087266195064e-08,4.707933645018863e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.392698157757202e-05,0.0007196646064036726,0.011636259536486808,0.060182850753960945,0.10145104952621382,0.056145541110839234,0.010118182231947836,0.0005824723433420109,1.0478170720539695e-05,5.779573117472704e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06719835172324487,0.25476821626141416,0.4063288551669765,0.3184117138687914,0.13623254752495284,0.06719306318158494,0.06824642108266879,0.03274401790047013,0.005213505587741493,0.00026472510521065003,0.06253661994776949,0.29043669860333743,0.5464564938930656,0.43578400331414163,0.17610129375960248,0.07595896043308234,0.030565731126100823,0.004968445878760864,0.00026384476956248254,4.382552559383297e-06,0.0012665857457994994,0.01283898141766839,0.042035902893119245,0.04512326169678922,0.015896655153842698,0.001813299223698149,6.556510330526578e-05,7.357362000238834e-07,2.5189074543448224e-09,2.5988272710494466e-12,0.0001927139220878084,0.0033221330730178284,0.01829097437385814,0.032786977039664954,0.019289221100137262,0.0036972254026071396,0.000226571440851772,4.3424051100618624e-06,2.553311910969312e-08,4.539925932132771e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2669188011445561e-05,0.000657137960137015,0.01066180259108012,0.0553149872647706,0.09350953211774754,0.051884638877408185,0.009372541238453337,0.0005407161939496625,9.745846541257287e-06,5.3847079438991456e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07049079108456546,0.26042076541064274,0.4119262727094606,0.321824739815533,0.1323747351485049,0.06291286739775896,0.06503354348501741,0.031115240642395778,0.00491987412202073,0.0002479648919295251,0.06386228295866106,0.2919088221607182,0.5433781920838183,0.4324312161089555,0.1741081567693546,0.07376778667176304,0.02958908893897097,0.004833611066405374,0.00025826752981174744,4.317407635814766e-06,0.001153392203796579,0.01197700536950914,0.04028130408915622,0.044545334729895164,0.01621990238473634,0.0019193473376173716,7.227437287421377e-05,8.478523810616907e-07,3.0454928236569615e-09,3.307511753033622e-12,0.00018930789202032297,0.0032330976190690463,0.017638508475568117,0.031332999903857205,0.018268042227275485,0.0034695984857542996,0.0002106482013933375,3.999055740804953e-06,2.3288750650950244e-08,4.100753340862421e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3142078010080484e-05,0.0006664531968912852,0.010582765761357756,0.05379137080645816,0.08916617548956446,0.04854140369743203,0.008606241494580108,0.0004874450973677241,8.62809019487821e-06,4.683568583415169e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
