index,ca,c1,c2,m,f+,f-,f0,fdd,p1,p2,ba,bv,t,p,co/h2,t/h,L/M,S/M,M,MW,XLogP3,TPSA,Density,MV,RI,DM,MP,BP,L/B
24,85.40462423,-0.0257166,-0.08442146,-0.40238372,0.143,-0.003,0.07,0.146,0.3477683,0.0377831,85.61116421,0.437331113,333.15,20,1,24,1,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.301029996
25,85.40462423,-0.0257166,-0.08442146,-0.40238372,0.143,-0.003,0.07,0.146,0.3477683,0.0377831,85.61116421,0.437331113,333.15,20,1,24,1,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-0.903089987
26,85.40462423,-0.0257166,-0.08442146,-0.40238372,0.143,-0.003,0.07,0.146,0.3477683,0.0377831,85.61116421,0.437331113,333.15,20,1,24,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.301029996
27,85.40462423,-0.0257166,-0.08442146,-0.40238372,0.143,-0.003,0.07,0.146,0.3477683,0.0377831,85.61116421,0.437331113,333.15,20,1,24,3,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.342422681
28,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.500602351
29,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,106.17,3.1,0,0.876,121.2,1.505,0.45,-25,146,0.477121255
30,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,100.2,4.4,0,0.684,146.6,1.388,0,-90,98,0.327358934
31,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,134.18,-0.4,27.7,0.94,142.7,1.408,1.92,-64,162,0.477121255
32,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,0.477121255
33,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,99.13,-0.5,20.3,1.03,96.2,1.47,4.09,-24,202,0.454258372
34,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.410174465
35,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,373.15,40,1,16,2.2,500,5.1,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.454258372
36,179.6257513,-0.02684731,-0.09648615,-0.10774884,0.146,-0.001,0.072,0.147,0.01080123,-0.04159968,97.76892976,0.551895034,393.15,40,1,16,2.2,500,3.4,72.11,0.5,9.2,0.887,81.3,1.407,1.69,-108,65,0.388860351
