Index,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),CA,C1,C2,CM,P1,P2,BA,BV,t,P,CO/H2,t/h,L/M,S/M,M,MW,XLogP3,TPSA,Density,MV,RI,DM,MP,BP,L/B
10,C=COC(C)=O,Rh,C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,89.62573535,-0.105519562,0.033941616,-0.022985413,0.238809411,0.231077099,99.0582208,0.701686545,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.230448921
11,C=COC(C)=O,Rh,C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1=C2C=CC=CC2=CC=C1)N(CCN([C@@H](C)C1=C2C=CC=CC2=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,313.15,20,1,21,2,1400,0.54,89.62573535,-0.105519562,0.033941616,-0.022985413,0.238809411,0.231077099,99.0582208,0.701686545,313.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-1.301029996
12,C=COC(C)=O,Rh,C[C@@H](C1CCCCC1)N(CCN([C@@H](C)C1CCCCC1)P->%16(C1=CC=CC=C1)C1=CC=CC=C1)P->%17(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@@H](C1CCCCC1)N(CCN([C@@H](C)C1CCCCC1)P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,89.62573535,-0.105519562,0.033941616,-0.07899949,0.244430938,0.238291348,99.77815355,0.567281262,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.62324929
13,C=COC(C)=O,Rh,C1=CC=C(P->%16(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P->%17(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P(C2=CC=CC=C2)N(CCN([C@@H]2CCCC3=CC=CC=C32)P(C2=CC=CC=C2)C2=CC=CC=C2)[C@@H]2CCCC3=CC=CC=C32)C=C1,C1=CC=CC=C1,333.15,20,1,21,2,1400,0.54,89.62573535,-0.105519562,0.033941616,-0.065891623,0.235053247,0.229600985,100.0778485,0.619217061,333.15,20,1,21,2,1400,0.54,78.11,2.1,0,0.879,88.9,1.501,0,6,81,-0.380211242
14,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,25,2,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,20,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.322219295
15,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@@]35)OC6=[C@@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,25,2,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.084670187,0.308025222,0.193122088,85.9453678,0.441745481,333.15,20,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.322219295
16,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,10,1,25,2,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,10,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.255272505
17,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,20,1,25,2,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,20,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.278753601
18,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,30,1,25,2,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,30,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.380211242
19,C=CC1=CC=CC=C1,Rh,C[C@H](CC[C@H]1C)P->%161C2=C(P->%17(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H](CC[C@H]1C)P1C2=C(P(OC3=CC=C(C=CC=C4)C4=[C@]35)OC6=[C@]5C(C=CC=C7)=C7C=C6)SC8=CC=CC=C82,CC1=CC=CC=C1,333.15,40,1,25,2,1213,2.042857143,85.3619317,-0.086168799,0.038186577,-0.095190349,0.309201273,0.193050198,85.61116421,0.437331113,333.15,40,1,25,2,1213,2.042857143,92.14,2.7,0,0.867,106.3,1.497,0.31,-95,92,-1.397940009
