Entry,olefin,metal,Ligand-M,ligand,solvent,T(K),p(bar),CO/H2,t(h),L/M,S/M,[M](mM),L/B,kb,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
213,C=CC1=CC=C(C(F)(F)(F))C=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20,1,24,10,1000,1.4,-1.123384909,40.41666667,,0.219854138,0.075268817,,
214,C=CC1=CC=C(OC)C=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20,1,24,10,1000,1.4,-0.477121255,37.08333333,,0.381017143,0.333333333,,
215,C=CC1=CC2=C(C=CC=C2)C=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20,1,24,10,1000,1.4,-0.907997321,13.33333333,,0.273566753,0.123595506,,
216,C=CC1=CC2=C(C=CC=C2)C=C1,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20,1,24,10,1000,0.7,-0.865301426,35.83333333,,0.284214108,0.136363636,,
217,C=CC1=CC2=C(C=C1)C=C(OC)C=C2,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20,1,24,10,1000,1.4,-0.788370416,21.25,,0.303398899,0.162790698,,
218,C=CC1=CC2=C(C=C1)C=C(OC)C=C2,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20,1,24,10,1000,0.7,-0.788370416,36.25,,0.303398899,0.162790698,,
219,C=CC1=CC=CC2=C1C=CC=C2,Rh,CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP->%16(C1=C(P->%173OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1(C)O[C@H]2[C@H](O1)C(C1=CC=CC=C1)(C1=CC=CC=C1)OP(C1=C(P3OC(C4=CC=CC=C4)(C4=CC=CC=C4)[C@H]4OC(C)(C)O[C@@H]4C(C4=CC=CC=C4)(C4=CC=CC=C4)O3)C=CC=C1)OC2(C1=CC=CC=C1)C1=CC=CC=C1,C1CCOC1,318.15,20,1,24,10,1000,1.4,-0.347487397,40,,0.413344789,0.449275362,,
220,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,60,1,24,8,2000,0.25,-1.133538908,72.5,,0.217321968,0.073529412,,
221,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,C(Cl)Cl,333.15,60,1,24,8,2000,0.25,-1.146128036,75,,0.214182535,0.071428571,,
222,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,C1CCOC1,333.15,60,1,24,8,2000,0.25,-1.049218023,67.5,,0.23834962,0.089285714,,
223,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC(C)=O,333.15,60,1,24,8,2000,0.25,-1.025305865,40,,0.244312752,0.094339623,,
224,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,298.15,60,1,24,8,2000,0.25,-1.264817823,10.83333333,,0.184584084,0.054347826,,
225,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,318.15,60,1,24,8,2000,0.25,-1.193124598,36.66666667,,0.202462694,0.064102564,,
226,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,353.15,60,1,24,8,2000,0.25,-1.423245874,82.5,,0.145075842,0.037735849,,
227,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,10,1,24,8,2000,0.25,-0.875061263,48.33333333,,0.281780234,0.133333333,,
228,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,20,1,24,8,2000,0.25,-1.033423755,68.33333333,,0.24228834,0.092592593,,
229,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,40,1,24,8,2000,0.25,-1.100370545,70.83333333,,0.22559338,0.079365079,,
230,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,80,1,24,8,2000,0.25,-1.161368002,66.66666667,,0.210382044,0.068965517,,
231,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,40,1,24,4,2000,0.25,-1.204119983,82.5,,0.199720703,0.0625,,
232,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,40,1,24,2,2000,0.25,-1.158362492,82.5,,0.211131548,0.069444444,,
233,C=CC1=CC=CC=C1,Rh,C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,333.15,40,1,2,4,2000,0.25,-1.838849091,200,,0.041434142,0.014492754,,
234,C=CC1=CC=CC=C1,Rh,FC(F)(F)C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.FC(F)(F)C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],FC(F)(F)C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,313.15,40,1,24,8,2000,0.25,-1.075546961,73.33333333,,0.2317838,0.084033613,,
235,C=CC1=CC=CC=C1,Rh,FC1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.FC1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],FC1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,313.15,40,1,24,8,2000,0.25,-1.152288344,82.5,,0.212646298,0.070422535,,
236,C=CC1=CC=CC=C1,Rh,CC1=CC(C)=CC(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)=C1.CC1=CC(C)=CC(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)=C1.[RhH]%16%17%18.[C-]->%18#[O+],CC1=CC(C)=CC(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)=C1,CC1=CC=CC=C1,313.15,40,1,24,8,2000,0.25,-1.1430148,82.5,,0.214958903,0.071942446,,
237,C=CC1=CC=CC=C1,Rh,COC1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.COC1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],COC1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,313.15,40,1,24,8,2000,0.25,-1.260071388,82.5,,0.185767734,0.054945055,,
238,C=CC1=CC=CC=C1,Rh,COC1=CC=CC=C1P->%161CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1.COC1=CC=CC=C1P->%171CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1.[RhH]%16%17%18.[C-]->%18#[O+],COC1=CC=CC=C1P1CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1,CC1=CC=CC=C1,313.15,40,1,24,8,2000,0.25,-1.064457989,79.16666667,,0.23454913,0.086206897,,
239,C=CC1=CC=CC=C1,Rh,N(C)(C)C1=CC=C(P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.N(C)(C)C1=CC=C(P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],N(C)(C)C1=CC=C(P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,313.15,40,1,24,8,2000,0.25,-1.33243846,82.5,,0.167721082,0.046511628,,
240,C=CC1=CC=CC=C1,Rh,CC(C)P->%161CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1.CC(C)P->%171CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1.[RhH]%16%17%18.[C-]->%18#[O+],CC(C)P1CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1,CC1=CC=CC=C1,313.15,40,1,24,8,2000,0.25,-0.826074803,78.33333333,,0.293996309,0.149253731,,
241,C=CC1=CC=CC=C1,Rh,CC(C)(C)P->%161CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1.CC(C)(C)P->%171CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1.[RhH]%16%17%18.[C-]->%18#[O+],CC(C)(C)P1CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1,CC1=CC=CC=C1,313.15,40,1,24,8,2000,0.25,-0.77815125,74.16666667,,0.305947319,0.166666667,,
242,C=CC1=CC=CC=C1,Rh,C1=CC=C(N2C=CC=C2P->%162CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.C1=CC=C(N2C=CC=C2P->%172CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],C1=CC=C(N2C=CC=C2P2CC3=CC=C4C=CC=CC4=[C@@]3[C@@]3=C(C=CC4=CC=CC=C43)C2)C=C1,CC1=CC=CC=C1,313.15,40,1,24,8,2000,0.25,-1.021189299,82.5,,0.245339327,0.095238095,,
243,C=CC1=CC=CC=C1,Rh,N(CC)(CC)P->%161CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1.N(CC)(CC)P->%171CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1.[RhH]%16%17%18.[C-]->%18#[O+],N(CC)(CC)P1CC2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)C1,CC1=CC=CC=C1,313.15,40,1,24,4,2000,0.25,-1.240549248,82.5,,0.190636098,0.057471264,,
244,C=CC1=CC=CC=C1,Rh,C[C@H]1C2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)[C@H](C)P->%161C1=CC=CC=C1.C[C@H]1C2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)[C@H](C)P->%171C1=CC=CC=C1.[RhH]%16%17%18.[C-]->%18#[O+],C[C@H]1C2=CC=C3C=CC=CC3=[C@@]2[C@@]2=C(C=CC3=CC=CC=C32)[C@H](C)P1C1=CC=CC=C1,CC1=CC=CC=C1,313.15,40,1,24,8,2000,0.25,-1.397940009,82.5,,0.151386532,0.04,,
245,C=CCCCCCCCC,Rh,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=CC=C1OP->%16(OC1=CC=CC=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))OC1=CC=CC=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F).FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=CC=C1OP->%17(OC1=CC=CC=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))OC1=CC=CC=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F).[RhH]%16%17%18.[C-]->%18#[O+],FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=CC=C1OP(OC1=CC=CC=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))OC1=CC=CC=C1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F),CC1=CC=CC=C1,353.15,40,1,0.083333333,5,2000,10,0.361727836,11928,,0.590206443,2.3,,
246,C=CCCCCCCCC,Rh,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=CC(OP->%16(OC2=CC=CC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))=C2)OC3=CC=CC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))=C3)=C1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=CC(OP->%17(OC2=CC=CC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))=C2)OC3=CC=CC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))=C3)=C1.[RhH]%16%17%18.[C-]->%18#[O+],FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=CC(OP(OC2=CC=CC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))=C2)OC3=CC=CC(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))=C3)=C1,CC1=CC=CC=C1,353.15,40,1,0.166666667,5,2000,10,0.763427994,6720,,0.690381046,5.8,,
247,C=CCCCCCCCC,Rh,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(OP->%16(OC2=CC=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))C=C2)OC3=CC=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))C=C3)C=C1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(OP->%17(OC2=CC=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))C=C2)OC3=CC=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))C=C3)C=C1.[RhH]%16%17%18.[C-]->%18#[O+],FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(OP(OC2=CC=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))C=C2)OC3=CC=C(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)(F))C=C3)C=C1,CC1=CC=CC=C1,353.15,40,1,0.416666667,5,2000,10,0.72427587,2856,,0.680617424,5.3,,
